,Hugo_Symbol,Entrez_Gene_Id,normality,p,stat,expressed,fdr_hypothesis,fdr,corrected
6623,TMSB15A,11013,NORMAL,0.5271951521249347,572.0,False,False,0.5676829654499856,False
6624,CELF1,10658,NOT,2.473756574659273e-07,103.0,True,True,7.309980298877685e-07,False
6625,CMTM7,112616,NOT,1.2265120486349766e-09,8.0,True,True,1.1075794898154324e-08,False
6626,NAB1,4664,NOT,2.5046083739041047e-06,129.0,True,True,6.0717246223959316e-06,False
6627,MED21,9412,NOT,0.3840882494738521,525.0,False,False,0.4263396844863327,False
6628,CXorf30,645090,NOT,0.0402356268160887,425.0,True,False,0.052674431206358494,True
6629,AIMP1,9255,NOT,0.035391288182194655,401.0,True,True,0.04668839277185282,False
6630,PHACTR4,65979,NORMAL,0.9192651438406544,627.0,False,False,0.9292162293649681,False
6631,TMPRSS7,344805,NORMAL,0.007565231689692976,344.0,True,True,0.010969554302728805,False
6632,ROM1,6094,NOT,5.063849902320951e-09,32.0,True,True,2.742257274689481e-08,False
6633,ZNF468,90333,NOT,0.0020791451847036522,303.0,True,True,0.003243969749436018,False
6634,C1orf100,200159,NOT,0.9116062720674252,626.0,False,False,0.9227703240340308,False
6635,KRT72,140807,NORMAL,0.8126239275773505,496.5,False,False,0.8347364740128617,False
6636,ZNF222,7673,NORMAL,0.0036089309341836144,336.0,True,True,0.005439214961439709,False
6637,ACSS3,79611,NOT,8.53422673646545e-10,2.0,True,True,1.093136886055739e-08,False
6638,RBM14,10432,NOT,1.6329285453687908e-07,95.0,True,True,5.028313836229208e-07,False
6639,TPH1,7166,NOT,0.0033921289197132603,334.0,True,True,0.005131263317692344,False
6640,DTX4,23220,NOT,6.3812412695451034e-09,36.0,True,True,3.289643179092559e-08,False
6641,ARIH2,10425,NORMAL,9.06805772149548e-10,3.0,True,True,1.093136886055739e-08,False
6642,ZNF208,7757,NOT,2.76827355018384e-08,62.0,True,True,1.0619623749919096e-07,False
6643,ING2,3622,NORMAL,0.30391493569853856,531.0,False,False,0.3437299014136607,False
6644,MXD4,10608,NOT,7.556929455863566e-10,0.0,True,True,1.093136886055739e-08,False
