,Hugo_Symbol,Entrez_Gene_Id,Normality_NormalSample,Normality_CancerSample,p,stat,expressed,fdr_hypothesis,fdr,corrected
4123,C5orf24,134553,NOT,NOT,1.545144519819181e-12,2276.0,True,True,7.712329263182998e-12,False
4124,C2CD3,26005,NORMAL,NOT,0.1721999842032359,1051.5,False,False,0.2040694749631547,False
4125,ADGB,79747,NORMAL,NOT,6.181553026128574e-11,2192.5,True,True,2.342319116612659e-10,False
4126,SMDT1,91689,NOT,NOT,3.478825758193361e-08,2050.5,True,True,9.194723833046254e-08,False
4127,PDZD3,79849,NORMAL,NOT,2.4124161887299385e-08,2059.5,True,True,6.484283438666514e-08,False
4128,C6orf123,0,NORMAL,NOT,3.6299843442756365e-11,2210.5,True,True,1.426020981993876e-10,False
4129,STK32C,282974,NORMAL,NOT,1.2177183236080186e-05,1885.0,True,True,2.4268671020222106e-05,False
4130,ATP10D,57205,NOT,NOT,0.00417370235213177,1666.0,True,True,0.006204317688379809,False
4131,SLC52A3,113278,NOT,NORMAL,1.2528828651417701e-10,316.5,True,True,4.5213184657037977e-10,False
4132,AC010547.9,0,NORMAL,NOT,3.769636899973613e-10,2159.0,True,True,1.2718843251375813e-09,False
4133,STARD8,9754,NORMAL,NOT,8.448669058936806e-18,2497.0,True,True,1.2851957852852046e-15,False
4134,SYTL3,94120,NORMAL,NOT,1.257714846871873e-11,2233.0,True,True,5.31743122362007e-11,False
4135,ZMAT5,55954,NOT,NOT,0.03371247477547664,1558.5,True,True,0.04435667555760494,False
4136,IGSF3,3321,NOT,NOT,7.612809085888022e-11,305.5,True,True,2.8363797995249146e-10,False
4137,DUSP9,1852,NOT,NOT,2.186492898484476e-17,19.0,True,True,1.2851957852852046e-15,False
4138,ADORA2A,135,NORMAL,NOT,1.535893489200209e-13,2321.5,True,True,9.401841220231132e-13,False
4139,CACTIN,58509,NOT,NOT,8.252379962722428e-05,678.5,True,True,0.0001497320279970906,False
4140,AL627171.2,0,NOT,NOT,0.0004548552413228393,1757.0,True,True,0.0007585925940435946,False
4141,SP3,6670,NORMAL,NOT,2.710815647541122e-06,569.0,True,True,5.794993232430749e-06,False
4142,VASP,7408,NORMAL,NORMAL,1.5915661040151377e-11,2228.0,True,True,6.599689017489559e-11,False
4143,MFSD5,84975,NORMAL,NOT,0.018371004565116807,907.5,True,True,0.025141337547523797,False
4144,PHKA1,5255,NOT,NOT,2.13483079162705e-14,141.0,True,True,1.6132634263060932e-13,False
4145,NABP2,79035,NOT,NOT,4.548211231619044e-15,112.5,True,True,4.191203528295067e-14,False
4146,MGC4294,0,NOT,NOT,1.365119934253639e-12,229.5,True,True,6.872215567374883e-12,False
4147,UROD,7389,NOT,NOT,2.2449653368210742e-08,2061.5,True,True,6.059652530247509e-08,False
4148,THSD1,55901,NORMAL,NOT,3.0207572184283406e-12,2262.5,True,True,1.4238714458416763e-11,False
4149,ZIM2,5178,NOT,NOT,8.528061438728096e-05,1811.0,True,True,0.00015449062641991176,False
4150,CLCNKA,1187,NOT,NOT,0.0047551096758322395,1660.0,True,True,0.00702750617247001,False
4151,KLHL34,257240,NOT,NOT,0.021715178004983342,1580.0,True,True,0.029403488010353286,False
4152,APOC4,346,NORMAL,NOT,2.19483024001725e-06,1936.5,True,True,4.7489594684741975e-06,False
4153,WDR76,79968,NOT,NOT,8.469552113439701e-10,359.5,True,True,2.746086951195023e-09,False
