,Hugo_Symbol,Entrez_Gene_Id,FC,log2FC,ABS,segnificant,expressed,segnificance (-log10)
56,CAPRIN1,4076,1.3552388933626327,0.4385471836022819,0.4385471836022819,0.0,not expressed,6.561937813806516
57,AOC3,8639,0.1007862024328492,-3.3106299465671936,3.3106299465671936,1.0,under expressed,9.095225458117138
58,KIFC3,3801,0.5916714714997099,-0.7571317602492041,0.7571317602492041,1.0,under expressed,6.25339055086956
59,DOCK11,139818,0.2660214824235301,-1.910385340384715,1.910385340384715,1.0,under expressed,9.068835823031932
60,NENF,29937,1.0941823586192108,0.1298532006085363,0.1298532006085363,0.0,not expressed,1.1530608826680524
61,TMEM231,79583,0.4251977771182365,-1.2337940402311374,1.2337940402311374,1.0,under expressed,5.115408762003892
62,DNAH17,8632,3.2618380905318793,1.70568517206085,1.70568517206085,1.0,over expressed,2.146952800390329
63,DCHS1,8642,0.42954721943429,-1.2191113616628382,1.2191113616628382,1.0,under expressed,6.016344108991798
64,ZFYVE19,84936,1.2817653879859008,0.35813221783482846,0.35813221783482846,0.0,not expressed,3.5908273325624744
65,NTRK1,4914,0.7307200599809679,-0.4526092816352019,0.4526092816352019,0.0,not expressed,3.6040262475552445
66,CCDC62,84660,0.8303877604853598,-0.26814291566315823,0.26814291566315823,0.0,not expressed,2.020280224515369
67,HS3ST4,9951,16.4241452991453,4.0377463905632425,4.0377463905632425,1.0,over expressed,1.3737370354447118
68,SLC5A8,160728,0.1878458614367652,-2.4123787635785696,2.4123787635785696,1.0,under expressed,8.320723889304078
69,WDR53,348793,2.764928210449491,1.4672420223142086,1.4672420223142086,1.0,over expressed,9.121654631913783
70,NLN,57486,2.6528506251348896,1.4075434435861363,1.4075434435861363,1.0,over expressed,8.885215244668862
71,TBC1D31,93594,2.479719563440183,1.3101769725029127,1.3101769725029127,1.0,over expressed,8.859141826100139
72,NOXRED1,122945,0.8604644369796999,-0.21681252801788922,0.21681252801788922,0.0,not expressed,0.3097507714025315
73,ZNF597,146434,0.3515502851595981,-1.5081970301650978,1.5081970301650978,1.0,under expressed,9.095225458117138
74,RNF114,55905,0.8865697897755019,-0.17369389196419005,0.17369389196419005,0.0,not expressed,3.03930043723312
75,JOSD2,126119,1.0864431024502705,0.11961262186182563,0.11961262186182563,0.0,not expressed,0.8111069163573027
76,SFRP2,6423,2.170053078840239,1.1177303309845295,1.1177303309845295,1.0,over expressed,3.009374255299922
77,PNMA2,10687,0.18969534525156653,-2.3982438165853748,2.3982438165853748,1.0,under expressed,9.042485724093911
78,CDH10,1008,0.7393915756630265,-0.43558948876876796,0.43558948876876796,0.0,not expressed,5.742297654295054
79,HENMT1,113802,1.7816283318952266,0.833196405514802,0.833196405514802,1.0,over expressed,2.920506436409296
80,STX16,8675,1.2738542177465548,0.3492001823286683,0.3492001823286683,0.0,not expressed,3.5876708156590675
81,PTX3,5806,0.17408130073548386,-2.5221668533288137,2.5221668533288137,1.0,under expressed,5.115408762003892
82,BFAR,51283,0.8353503617434404,-0.25954667678075244,0.25954667678075244,0.0,not expressed,4.998396501705256
83,MEP1B,4225,1.1627719580983078,0.21756818436084147,0.21756818436084147,0.0,not expressed,0.12554716290808304
84,SHROOM3,57619,0.2574952788468433,-1.957382114034952,1.957382114034952,1.0,under expressed,8.96367261836735
85,NUP107,57122,1.839707789957321,0.8794766339682998,0.8794766339682998,1.0,over expressed,9.016175158728634
86,HS6ST1,9394,2.282216058304673,1.190435378607117,1.190435378607117,1.0,over expressed,8.170087363208248
87,BRWD3,254065,1.4561235771344931,0.5421327982245552,0.5421327982245552,0.0,not expressed,5.056780029615002
88,FGF11,2256,19.130390802106202,4.257794440735617,4.257794440735617,1.0,over expressed,9.121654631913783
89,CCDC138,165055,2.4749419642664146,1.307394695355192,1.307394695355192,1.0,over expressed,7.678216227996413
90,FAM193B,54540,0.7721162052599329,-0.37311010214033236,0.37311010214033236,0.0,not expressed,3.506468077792614
91,BATF,10538,0.5631130646111949,-0.8285034720898817,0.8285034720898817,1.0,under expressed,3.837029055685592
92,COL4A2,1284,0.7560018708989007,-0.40353829015896914,0.40353829015896914,0.0,not expressed,1.2665963360322645
93,AGFG2,3268,0.5272929449803582,-0.9233234008624697,0.9233234008624697,1.0,under expressed,7.22552838952294
94,TVP23B,51030,1.3842882528603122,0.46914438926896246,0.46914438926896246,0.0,not expressed,2.9944681107408613
95,FBXO42,54455,1.002272079346322,0.003274199391985451,0.003274199391985451,0.0,not expressed,0.4356322233596668
96,NBEAL1,65065,0.8061420223577236,-0.3108940664301461,0.3108940664301461,0.0,not expressed,4.042739536056594
97,BCL6,604,0.7164029479936886,-0.48115682087012623,0.48115682087012623,0.0,not expressed,3.410287385464798
98,DNAJC3,5611,0.7218512934059339,-0.4702264327922395,0.4702264327922395,0.0,not expressed,5.742297654295054
99,C1orf233,643988,1.6996350590709473,0.765225008134352,0.765225008134352,1.0,over expressed,2.49700026057696
100,ADH6,130,0.4956889659668155,-1.0124929501039976,1.0124929501039976,1.0,under expressed,2.3496526932735735
101,VPS13B,157680,0.9985654249777614,-0.00207114022884331,0.00207114022884331,0.0,not expressed,0.09390239938013645
102,ZMYM3,9203,1.067535897289156,0.09428458316689282,0.09428458316689282,0.0,not expressed,0.07022900270169971
103,SEMA3D,223117,0.9309350124300028,-0.10324763657421107,0.10324763657421107,0.0,not expressed,0.5634664866291264
104,ITGB6,3694,0.41676758405921593,-1.262685024890174,1.262685024890174,1.0,under expressed,8.320723889304078
105,RBM44,375316,0.8449998735105867,-0.2429769694519048,0.2429769694519048,0.0,not expressed,2.496583964428276
106,CEACAM21,90273,0.18825506266216768,-2.4092394316932553,2.4092394316932553,1.0,under expressed,8.807208158307779
107,ETV6,2120,1.4458411129110371,0.5319090196403902,0.5319090196403902,0.0,not expressed,2.020242112174525
108,C1RL,51279,0.7299950583396961,-0.4540413971042209,0.4540413971042209,0.0,not expressed,5.952516456800908
109,CCDC181,57821,0.2024401833631484,-2.304432408685425,2.304432408685425,1.0,under expressed,7.732128297106552
110,GPN3,51184,1.1547811492918336,0.2076194622490882,0.2076194622490882,0.0,not expressed,2.056966018231387
111,RAP1GAP,5909,0.4013165239938663,-1.3171875353475277,1.3171875353475277,1.0,under expressed,7.702435485453458
112,MAGED2,10916,0.7895123355996834,-0.34096628748524516,0.34096628748524516,0.0,not expressed,4.4274533442617505
113,C1orf85,112770,1.2624539767078764,0.33623079476694867,0.33623079476694867,0.0,not expressed,2.5101684380380678
114,JRKL,8690,1.389860767355704,0.4749403647427038,0.4749403647427038,0.0,not expressed,4.730804969466137
115,BHLHE40,8553,0.7578909192655159,-0.39993787387759466,0.39993787387759466,0.0,not expressed,2.2327623443617455
116,NMUR1,10316,0.10311195749868737,-3.2777164486628982,3.2777164486628982,1.0,under expressed,9.095225458117138
117,SPATA18,132671,0.2607865493319631,-1.9390586337251938,1.9390586337251938,1.0,under expressed,7.462014525373007
118,NTPCR,84284,1.3493493793565616,0.4322639454724999,0.4322639454724999,0.0,not expressed,4.3256502279393505
119,CBWD3,55871,1.290022220418959,0.36739591604554217,0.36739591604554217,0.0,not expressed,3.803282317545056
120,TLDC2,140711,0.620445592627201,-0.6886233900730556,0.6886233900730556,1.0,under expressed,3.7696892267727007
121,C14orf119,55017,0.9993432818359577,-0.0009477552766516197,0.0009477552766516197,0.0,not expressed,0.26769676707471
122,GNAI2,2771,0.45546271376801184,-1.1345951415489004,1.1345951415489004,1.0,under expressed,9.121654631913783
123,MNDA,4332,0.20395096176897756,-2.2937057844420803,2.2937057844420803,1.0,under expressed,9.121654631913783
124,RP11-347C12.3,0,0.663442232394458,-0.591957242956238,0.591957242956238,1.0,under expressed,3.506468077792614
125,CLEC6A,93978,0.15537920929448534,-2.6861346198057574,2.6861346198057574,1.0,under expressed,8.96367261836735
126,FCGR2A,2212,0.3749432087917893,-1.41525600220986,1.41525600220986,1.0,under expressed,8.472780871035177
127,REV1,51455,0.9554285437435522,-0.06578011644312708,0.06578011644312708,0.0,not expressed,0.8800622575052948
128,ECH1,1891,0.9992089445463269,-0.001141703414999202,0.001141703414999202,0.0,not expressed,1.6217688049809957
129,ZNF491,126069,0.3734313197033078,-1.4210851633442265,1.4210851633442265,1.0,under expressed,8.320723889304078
130,SEP15,0,0.7774178905608681,-0.3632377863786938,0.3632377863786938,0.0,not expressed,4.41608657297512
131,LRRC24,441381,1.0595728770708521,0.0834828192088121,0.0834828192088121,0.0,not expressed,0.027591999876280488
132,C1orf109,54955,2.5294778039871817,1.3388395796400974,1.3388395796400974,1.0,over expressed,8.371251690737195
133,GMFG,9535,0.20388053596190345,-2.294204043964416,2.294204043964416,1.0,under expressed,9.121654631913783
134,MAGEH1,28986,0.5757358663883535,-0.7965210048340022,0.7965210048340022,1.0,under expressed,7.296061274110726
135,GMFB,2764,0.769344198826733,-0.3782989013269068,0.3782989013269068,0.0,not expressed,5.931318754995368
