WDR53	348793	171.45	248.0	202.66	171.45	189.02	220.32	198.47	258.57	177.53	193.01	193.01	204.07	146.03	214.27	249.73	242.88	178.77	205.5	214.27	152.28	255.0	170.25	138.1	212.78	176.29	195.72	221.86	226.54	170.25	198.47	201.25	156.59	175.07	202.66	189.02	211.31	163.28	215.77	202.66	177.53	244.57	241.19	173.85	134.3	145.02	183.82	237.86	173.85	177.53	206.94	196.21240000000006
NLN	57486	163.28	100.83	117.6	255.0	102.25	68.07	104.42	273.37	105.15	129.69	132.44	115.16	140.04	96.01	78.34	102.97	133.36	108.9	146.03	109.66	148.09	126.12	147.06	57.08	110.43	114.36	96.68	108.9	146.03	62.56	73.03	101.54	186.4	81.14	116.78	137.14	120.94	127.89	93.35	81.14	127.0	150.17	99.43	128.79	71.0	87.65	91.41	217.27	98.73	86.43	119.54220000000002
TBC1D31	93594	70.51	78.34	63.0	77.79	80.57	23.42	59.13	88.26	58.71	61.68	71.0	22.59	40.64	87.03	67.59	81.71	67.12	76.71	54.72	65.26	85.22	52.82	84.04	41.22	27.64	63.0	63.45	65.26	87.65	36.53	63.45	57.89	55.89	38.12	57.08	75.64	41.22	82.87	70.51	53.57	135.24	91.41	36.01	52.45	49.21	35.0	54.72	50.27	64.34	76.17	62.873400000000004
ZNF597	146434	75.11	69.52	140.04	67.59	88.26	73.54	74.58	55.49	98.73	125.24	76.17	68.55	59.55	80.57	105.15	80.57	103.69	64.8	88.26	59.13	69.52	53.19	63.89	96.01	71.0	93.35	90.14	108.14	73.54	79.45	84.63	111.21	61.25	89.51	94.01	98.04	57.89	80.01	90.77	80.57	67.12	60.39	84.04	104.42	68.55	98.73	75.64	55.1	63.45	70.51	80.9722
SFRP2	6423	1540.37	4802.93	221.86	6471.02	1088.92	271.48	1923.14	2485.67	624.99	412.0	909.17	143.01	3303.0	1427.22	3639.7	309.83	836.53	6471.02	571.05	11745.96	3874.05	2032.85	9808.75	728.11	1059.11	113.56	1088.92	612.11	438.59	490.14	836.53	208.38	5711.87	329.84	2090.03	1119.56	267.73	954.43	170.25	1233.75	1143.1	1242.34	915.51	267.73	351.14	1001.93	201.25	2004.85	2645.74	941.27	1861.6457999999996
PNMA2	10687	205.5	253.23	153.34	273.37	120.94	89.51	204.07	131.51	190.34	339.14	182.55	108.14	229.72	204.07	141.02	169.07	170.25	137.14	293.07	223.41	215.77	133.36	191.67	81.14	155.5	115.16	239.52	178.77	190.34	226.54	177.53	119.26	162.14	128.79	171.45	114.36	92.7	165.57	164.42	148.09	142.01	209.84	149.12	180.02	116.78	133.36	275.28	208.38	122.64	149.12	173.56040000000002
HENMT1	113802	105.89	137.14	141.02	144.01	159.9	148.09	121.79	201.25	111.99	98.04	138.1	61.68	125.24	165.57	157.68	178.77	99.43	106.63	139.07	142.01	108.14	128.79	128.79	140.04	78.34	94.01	130.6	163.28	170.25	96.68	108.9	127.0	106.63	63.0	144.01	141.02	74.58	145.02	126.12	128.79	201.25	144.01	105.15	109.66	123.5	53.95	115.97	170.25	128.79	169.07	128.17780000000002
PTX3	5806	110.43	79.45	31.45	86.43	141.02	1250.98	107.38	255.0	43.32	412.0	151.22	4419.52	486.75	81.14	180.02	191.67	74.58	125.24	158.79	148.09	693.58	153.34	603.67	791.35	1030.12	2075.59	50.27	97.36	92.7	265.87	127.0	194.36	836.53	77.25	193.01	56.68	14765.09	54.33	44.57	183.82	57.89	39.22	400.71	65.26	525.39	86.43	191.67	231.32	941.27	98.73	671.1772000000001
SHROOM3	57619	420.68	339.14	567.1	616.37	684.02	409.15	555.41	234.57	620.67	656.11	423.61	521.76	684.02	423.61	199.85	532.74	579.04	334.46	395.18	273.37	521.76	521.76	264.03	269.6	521.76	703.28	466.88	423.61	379.04	384.34	397.93	450.94	397.93	476.71	343.89	397.93	400.71	532.74	450.94	575.03	201.25	325.29	780.44	476.71	532.74	633.73	551.56	287.01	327.56	540.19	460.16299999999995
NUP107	57122	379.04	301.33	281.09	371.22	429.54	237.86	265.87	258.57	269.6	341.51	323.03	336.79	275.28	371.22	309.83	400.71	265.87	281.09	267.73	262.2	376.41	256.78	208.38	356.05	287.01	387.02	327.56	432.53	376.41	181.28	264.03	432.53	299.25	299.25	267.73	432.53	267.73	438.59	400.71	273.37	518.15	497.0	295.11	277.2	325.29	234.57	384.34	226.54	273.37	332.14	323.16480000000007
HS6ST1	9394	620.67	373.81	409.15	647.07	693.58	307.69	575.03	483.38	473.41	426.57	698.41	497.0	373.81	486.75	309.83	309.83	438.59	698.41	368.65	808.0	860.08	575.03	547.75	202.66	423.61	414.87	476.71	309.83	412.0	463.65	518.15	403.5	563.18	518.15	426.57	688.78	591.22	400.71	435.55	547.75	361.04	336.79	616.37	647.07	483.38	599.49	363.56	616.37	532.74	460.44	495.93280000000004
FGF11	2256	22.26	23.59	13.72	21.94	20.71	6.57	24.11	23.59	16.63	6.62	21.94	7.22	10.96	16.63	18.7	17.51	17.0	69.52	10.31	66.65	29.7	15.22	46.18	12.09	15.11	5.82	18.43	11.13	13.83	10.79	20.56	26.86	36.53	15.68	17.0	21.47	3.63	18.43	10.39	20.71	144.01	16.51	11.91	10.31	6.67	28.65	13.62	16.39	45.21	8.19	22.144199999999994
CCDC138	165055	61.25	44.57	35.5	43.02	142.01	40.07	74.58	52.08	58.3	29.7	35.0	40.64	21.32	62.56	37.05	111.21	43.63	30.34	24.63	38.67	78.89	28.45	21.16	44.25	12.09	55.89	44.57	59.13	43.63	19.11	43.94	70.51	37.32	63.89	57.49	69.03	14.35	34.75	60.39	32.82	83.45	61.25	24.81	25.54	15.8	27.84	15.8	23.76	27.05	90.14	46.26460000000003
BATF	10538	242.88	314.17	206.94	182.55	417.77	563.18	146.03	486.75	88.88	287.01	170.25	1208.34	414.87	271.48	202.66	251.48	197.09	281.09	161.02	325.29	343.89	373.81	353.59	371.22	651.58	620.67	138.1	60.39	273.37	283.05	563.18	171.45	412.0	1167.14	371.22	153.34	872.1	177.53	187.71	441.64	473.41	112.77	358.54	88.26	236.21	215.77	109.66	265.87	543.96	256.78	341.3588000000001
AGFG2	3268	595.34	435.55	346.29	406.31	595.34	170.25	860.08	480.04	571.05	403.5	409.15	220.32	368.65	429.54	325.29	320.8	441.64	486.75	503.95	651.58	620.67	532.74	429.54	218.79	309.83	392.44	450.94	497.0	575.03	674.59	497.0	454.09	463.65	414.87	457.25	921.88	260.38	518.15	373.81	480.04	395.18	607.87	381.68	1001.93	409.15	281.09	334.46	387.02	454.09	376.41	463.85980000000023
C1orf233	643988	127.89	128.79	102.25	167.9	88.88	45.85	124.37	126.12	151.22	63.89	97.36	49.91	194.36	140.04	109.66	81.14	112.77	102.97	98.04	228.13	90.14	182.55	154.42	56.28	114.36	49.91	133.36	99.43	182.55	162.14	122.64	107.38	120.1	114.36	82.87	104.42	62.56	80.57	133.36	135.24	91.41	221.86	131.51	163.28	105.89	118.43	110.43	129.69	111.21	167.9	119.6358
ADH6	130	19.39	8.38	6.21	15.34	96.68	5.15	11.21	2.53	23.93	3.96	26.47	3.59	25.72	16.88	13.72	38.4	22.43	4.31	3.06	4.21	12.93	4.82	5.63	7.22	2.2	32.59	5.73	5.36	13.32	9.2	24.81	24.46	3.26	45.21	13.42	21.47	9.27	4.58	43.32	5.5	27.84	11.3	5.36	1.77	3.72	3.79	0.6	2.56	12.18	98.04	16.2606
