,Hugo_Symbol,Entrez_Gene_Id,normality,p,stat,expression
13413,PET100,100131801.0,NOT,0.9858282113569034,1567.5,not
13414,EPB41L3,23136.0,NOT,0.9999999999996528,2291.0,not
13415,PEG3,5178.0,NOT,0.9999999999999996,2415.0,not
13416,ZNF624,57547.0,ND,0.49724954624207346,1248.5,not
13417,MAPRE2,10982.0,ND,1.0,2467.5,not
13418,ZNF777,27153.0,NOT,3.7887361768189324e-05,675.5,expressed
13419,SLC30A4,7782.0,NOT,0.5343388447965949,1262.0,not
13420,WISP3,8838.0,NOT,0.003335217446369398,856.0,expressed
13421,KIF3A,11127.0,ND,0.9999957123702082,1895.0,not
13422,HBE1,3046.0,NOT,0.997965786676653,1665.0,not
13423,UGP2,7360.0,NOT,0.9968373125739779,1645.5,not
13424,FNBP1L,54874.0,NOT,0.9999994249385425,1955.0,not
13425,SLCO4A1,28231.0,NOT,0.9681672737524459,1518.5,not
13426,BROX,148362.0,NOT,0.010647039424970885,915.5,expressed
13427,PDE6G,5148.0,ND,0.9999999856981069,2054.5,not
13428,HLF,3131.0,ND,0.999999999999895,2314.5,not
13429,MFN2,9927.0,NOT,0.8204435890366297,1382.5,not
13430,PLEKHF1,79156.0,NOT,0.6816321583530199,1318.0,not
13431,SYNGR2,9144.0,NOT,0.972802027096798,1528.5,not
13432,C1orf172,126695.0,NOT,2.3132077796681928e-09,399.5,expressed
13433,GTF3A,2971.0,NOT,0.042993907527288044,1000.5,expressed
13434,DGCR6,8214.0,ND,0.03543447361536907,987.5,expressed
13435,CD27,939.0,NOT,0.7717282243090244,1357.5,not
13436,DNAJC10,54431.0,NOT,0.00027244906421573263,748.0,expressed
13437,DOK1,1796.0,NOT,0.9999999999999853,2352.0,not
13438,DLC1,10395.0,ND,1.0,2492.0,not
13439,TRAF1,7185.0,NOT,0.9600400564602907,1503.5,not
13440,NME2,4831.0,NOT,6.802410738798318e-06,618.5,expressed
13441,TNN,63923.0,NOT,0.9997569907574432,1755.5,not
13442,RASGRP4,115727.0,NOT,1.0,2457.0,not
13443,RAB33B,83452.0,NOT,0.9999999999972305,2249.0,not
13444,NDUFB3,4709.0,ND,3.84491327889901e-05,676.0,expressed
13445,SLC25A27,9481.0,NOT,0.9999999991196185,2122.5,not
13446,CRTAC1,55118.0,NOT,0.9999999999999999,2439.0,not
13447,MBD5,55777.0,NOT,0.9585532996612596,1501.0,not
13448,LTB4R,1241.0,ND,1.3148400928234478e-09,386.0,expressed
13449,TYRP1,7306.0,ND,0.9999999999986959,2264.5,not
13450,GABRB2,2561.0,ND,0.9999999999982516,2258.5,not
13451,SNRPG,6637.0,NOT,8.316214735309753e-14,180.0,expressed
13452,GXYLT1,283464.0,NOT,0.9895470377948753,1584.5,not
13453,PMFBP1,83449.0,ND,0.07192850921157784,1037.5,not
13454,PPAN-P2RY11,692312.0,NOT,0.26816221867991297,1162.5,not
13455,DIEXF,27042.0,ND,9.939607532442715e-14,183.5,expressed
13456,ZFYVE28,57732.0,NOT,0.9999997832830926,1982.5,not
13457,PLEKHA1,59338.0,NOT,0.9964514645738821,1640.0,not
13458,MALSU1,115416.0,ND,0.00405317126422522,865.5,expressed
13459,TRIM27,5987.0,NOT,0.7222617707186428,1335.0,not
13460,KAT7,11143.0,ND,0.018661714628622535,947.5,expressed
13461,PINK1,65018.0,ND,0.9999999999999984,2394.0,not
13462,LCNL1,401562.0,NOT,0.9999999993491974,2129.5,not
13463,PIAS2,9063.0,ND,1.0642281186728323e-05,633.0,expressed
13464,NME6,10201.0,NOT,0.9965618337903871,1641.5,not
13465,DBNDD2,55861.0,NOT,0.9999999784673512,2044.0,not
13466,RP11-3B7.1,0.0,NOT,0.9999999854147965,2054.0,not
13467,PRMT7,54496.0,NOT,0.5792449189692332,1278.5,not
13468,MCMBP,79892.0,ND,0.013917744743587536,930.5,expressed
13469,PARD3,56288.0,NOT,1.2571469992413108e-13,188.0,expressed
13470,POC5,134359.0,ND,0.6865442359028893,1320.0,not
13471,RPL10A,4736.0,NOT,0.2929883565035998,1170.5,not
13472,CCDC42B,387885.0,NOT,0.9999999981194909,2104.5,not
13473,PELP1,27043.0,ND,3.7562765316314068e-06,600.0,expressed
13474,ANAPC15,25906.0,NOT,0.6464529550034595,1304.0,not
13475,ARL17B,51326.0,ND,0.25958907726746205,1156.0,not
13476,MPP6,51678.0,NOT,2.093452232159886e-15,111.0,expressed
13477,MCTS1,28985.0,NOT,3.7984970182809695e-11,305.5,expressed
13478,LECT1,11061.0,NOT,0.9901294400109637,1585.0,not
13479,ALDH1B1,219.0,NOT,0.00025907424326343834,746.0,expressed
13480,NANOS3,342977.0,NOT,0.9970579576424149,1649.0,not
13481,INCA1,388324.0,ND,0.9999999999999998,2426.0,not
13482,SLC5A11,115584.0,NOT,0.0012720916276051644,813.5,expressed
13483,MKNK2,2872.0,NOT,0.9576141447346947,1499.5,not
13484,IL17RB,55540.0,ND,0.9999999988155125,2115.5,not
13485,CTAGE9,643854.0,NOT,0.5234444341965216,1258.0,not
13486,FAM228A,653140.0,ND,0.9999999895768407,2062.5,not
13487,NRP1,8829.0,NOT,0.9999999999999946,2370.5,not
13488,CRTAM,56253.0,ND,0.9999999999999992,2406.5,not
