,Hugo_Symbol,Entrez_Gene_Id,normality,p,stat,expression,fdr,fdr_hypothesis
1062,MRPS30,10884.0,NOT,8.53422673646545e-10,2.0,expressed,1.093136886055739e-08,True
1063,PLCB4,5332.0,ND,0.08143553819251917,457.0,not,0.10178705754111632,False
1064,LIMS3L,96626.0,NOT,7.411591777977753e-05,227.0,expressed,0.00014202467882924646,True
1065,CTC-236F12.4,0.0,NOT,0.2838026795796832,483.5,not,0.3231194417543681,False
1066,GYPC,2995.0,ND,1.1100954635085601e-09,0.0,expressed,1.093136886055739e-08,True
1067,PROS1,5627.0,ND,9.06805772149548e-10,3.0,expressed,1.093136886055739e-08,True
1068,PSKH1,5681.0,ND,0.0018508161079109884,315.0,expressed,0.002904510198415909,True
1069,TSPYL1,7259.0,ND,2.1002250112728297e-09,17.0,expressed,1.4529990816875506e-08,True
1070,ERGIC1,57222.0,ND,2.9259876905925688e-08,63.0,expressed,1.1113967657615927e-07,True
1071,TSPAN13,27075.0,NOT,1.1548334686261787e-09,7.0,expressed,1.093136886055739e-08,True
1072,GPR146,115330.0,NOT,7.556929455863566e-10,0.0,expressed,1.093136886055739e-08,True
1073,ATE1,11101.0,NOT,9.59724863145825e-06,179.0,expressed,2.1020825669590223e-05,True
1074,MOBP,4336.0,NOT,0.008511915015371246,348.0,expressed,0.012260763102688092,True
1075,GPC2,221914.0,ND,1.5591448621045152e-09,12.0,expressed,1.2209531955056891e-08,True
1076,H2AFY2,55506.0,NOT,4.790150071767064e-08,72.0,expressed,1.706534182094783e-07,True
1077,GLCCI1,113263.0,ND,6.166815818239549e-07,121.0,expressed,1.6666417906772247e-06,True
1078,NARF,26502.0,NOT,4.253518335686794e-09,29.0,expressed,2.4033593531062773e-08,True
1079,BTBD8,284697.0,ND,0.009280120832210179,368.0,expressed,0.013283129287963446,True
1080,SPATA5L1,79029.0,ND,4.778329681962615e-09,31.0,expressed,2.6163437482061546e-08,True
1081,MPHOSPH8,54737.0,ND,2.470379346475543e-09,13.0,expressed,1.6307146813284298e-08,True
1082,PPP1R2,5504.0,NOT,9.0681719007971e-05,219.0,expressed,0.0001715237814368443,True
1083,TAF10,6881.0,ND,0.025537891202960256,388.0,expressed,0.034401674246033874,True
1084,RPS6,6194.0,NOT,0.011354781257807367,358.0,expressed,0.016070280700362302,True
