,Hugo_Symbol,Entrez_Gene_Id,normality,p,stat,expression
12556,MB21D1,115004.0,ND,0.058363850099739184,475.0,not
12557,BDH1,622.0,ND,6.697255511192609e-09,49.0,expressed
12558,C5orf63,401207.0,ND,0.8943684149211204,767.0,not
12559,DENND5A,23258.0,NOT,0.9999999957487351,1234.0,not
12560,SLC5A12,159963.0,ND,8.782793864119612e-10,14.0,expressed
12561,AC008132.13,0.0,NOT,0.00914146083611309,341.0,expressed
12562,KRBOX4,55634.0,NOT,0.9999199956260425,992.0,not
12563,TIGD2,166815.0,ND,2.266260317393593e-05,215.0,expressed
12564,PHLPP2,23035.0,NOT,0.999999675885819,1153.0,not
12565,CD72,971.0,NOT,0.6377101048565632,674.0,not
12566,ACOXL,55289.0,NOT,0.9999999996221536,1275.0,not
12567,NUP54,53371.0,ND,0.00011982570984023135,257.0,expressed
12568,IMP3,55272.0,NOT,0.001593624654255965,332.0,expressed
12569,LRRK1,79705.0,NOT,0.23900216845472722,564.0,not
12570,LGALS7B,3963.0,NOT,6.512605320240056e-10,9.0,expressed
12571,C19orf25,148223.0,NOT,0.8114561457470526,729.0,not
12572,FAM81A,145773.0,NOT,0.015111287615001917,413.0,expressed
12573,HMGB3,3149.0,NOT,4.0155454535234565e-10,1.0,expressed
12574,ANKRD11,29123.0,ND,0.9161318935685363,722.5,not
12575,POLQ,10721.0,NOT,4.0155454535234565e-10,1.0,expressed
12576,EYA4,2070.0,NOT,0.9999868882191164,1073.0,not
12577,MPV17L2,84769.0,NOT,8.083653086897913e-06,179.0,expressed
12578,TAC4,255061.0,ND,0.8162970994370418,623.0,not
12579,PNMAL2,57469.0,ND,0.994810582873193,903.0,not
12580,SMIM12,113444.0,ND,0.999378927690365,972.0,not
12581,PON2,5445.0,ND,0.9999999650360354,1196.0,not
12582,EAF2,55840.0,NOT,0.027671360222239733,439.0,expressed
12583,BCR,613.0,NOT,6.471912187020917e-05,241.0,expressed
12584,ZNF417,147687.0,ND,0.8834046467027927,761.0,not
12585,FASTKD3,79072.0,ND,5.5758255325611245e-08,79.0,expressed
12586,FAM126A,84668.0,NOT,0.004772301707090876,369.0,expressed
12587,PYGO2,90780.0,NOT,8.275826038152834e-10,13.0,expressed
12588,MED13L,23389.0,NOT,0.9184768157177801,782.0,not
12589,ABCD2,225.0,ND,0.9999997476685819,1158.0,not
12590,DRAM1,55332.0,NOT,0.9999999996221536,1275.0,not
12591,FBXO41,150726.0,ND,2.842771127711707e-09,34.0,expressed
12592,WDR19,57728.0,ND,0.9999999986694587,1254.0,not
12593,C5orf34,375444.0,NOT,3.778464727931783e-10,0.0,expressed
12594,F11R,50848.0,ND,1.256348687851861e-05,201.0,expressed
12595,HAPLN4,404037.0,ND,1.8392248567081082e-05,210.0,expressed
12596,CXorf38,159013.0,NOT,0.9999902951741291,1080.0,not
12597,TRIM29,23650.0,NOT,4.267113368232725e-10,2.0,expressed
12598,PREB,10113.0,NOT,4.732057964114549e-08,76.0,expressed
12599,FBXL6,26233.0,NOT,2.3483662947751025e-07,106.0,expressed
12600,ANG,283.0,ND,0.9999999995984454,1274.0,not
12601,DCPS,28960.0,NOT,4.486795159689184e-06,177.5,expressed
12602,MUC16,94025.0,NOT,0.964096237423826,824.0,not
12603,AVL9,23080.0,NOT,1.182254783115696e-09,19.0,expressed
12604,PSTPIP2,9050.0,ND,0.0630028361808558,479.0,not
12605,SPATC1,375686.0,ND,0.9717087778072719,835.0,not
12606,C9orf43,257169.0,NOT,2.5475353369426516e-06,154.0,expressed
12607,BLOC1S6,26258.0,NOT,0.7553231000927804,682.0,not
12608,KCNC3,3748.0,NOT,0.9995106768655372,979.0,not
12609,LDLRAD2,401944.0,NOT,0.999998736712396,1125.0,not
12610,WBP11,51729.0,ND,1.8394233350564918e-06,158.0,expressed
12611,ZNF510,22869.0,NOT,0.7940776853530702,695.0,not
12612,PTAR1,375743.0,ND,0.9999300141982422,1032.0,not
12613,ZNF778,197320.0,NOT,0.9991614172249113,963.0,not
12614,DNAJB12,54788.0,ND,0.999999999386744,1267.0,not
12615,MARK3,4140.0,NOT,0.988781991525502,842.0,not
12616,PCGF2,7703.0,NOT,0.22393096258575435,514.0,not
12617,ZNF90,7643.0,ND,0.9999799991708276,1063.0,not
12618,EMC3,55831.0,ND,0.9999999989498874,1258.0,not
12619,ZNF506,440515.0,NOT,0.9999976804582056,1112.0,not
12620,TCF4,6925.0,ND,0.9999894286495862,1040.0,not
12621,CLNK,116449.0,NOT,0.9999401778813417,1036.0,not
12622,GID4,79018.0,NOT,0.3267600289641148,591.0,not
12623,SEMA3C,10512.0,ND,0.05089565307576848,468.0,not
12624,PLCH1,23007.0,NOT,0.9999999995465971,1272.0,not
12625,RPS27,6232.0,ND,0.9648513117587771,825.0,not
12626,LCT,3938.0,NOT,0.0008995841062082844,202.0,expressed
12627,VPS39,23339.0,NOT,0.9999998629016619,1170.0,not
12628,NSMCE2,286053.0,NOT,5.515503971084952e-05,211.0,expressed
12629,SNRNP35,11066.0,NOT,0.9999999302340393,1183.0,not
12630,C1orf216,127703.0,NOT,0.9968048441175945,920.0,not
12631,FGD3,89846.0,NOT,0.9999999995984454,1274.0,not
12632,MRPS17,51373.0,NOT,3.379734936966881e-09,37.0,expressed
12633,TMEM71,137835.0,ND,0.9999978853871648,1114.0,not
12634,CBX4,8535.0,ND,1.6825663356523778e-07,109.0,expressed
12635,CLDN15,24146.0,ND,0.9966128941232834,918.0,not
12636,SEMA4A,64218.0,ND,0.08152195918328242,493.0,not
12637,PTBP3,9991.0,ND,1.3069238922925272e-08,53.0,expressed
12638,NPFFR2,10886.0,NOT,0.618084751834226,568.0,not
12639,PTPN6,5777.0,ND,0.9999999995465971,1272.0,not
12640,GLMN,11146.0,NOT,4.487293469005231e-07,109.0,expressed
12641,RFC5,5985.0,NOT,4.0146403401174867e-10,1.0,expressed
12642,LIPJ,142910.0,NOT,0.40758341603888204,589.0,not
12643,CSNK1D,1453.0,NOT,0.9839692082880042,828.0,not
12644,SMURF2,64750.0,NOT,0.9999997883830304,1121.0,not
12645,IL22RA1,58985.0,NOT,3.011814747490713e-09,35.0,expressed
12646,PCDHA9,9752.0,ND,0.9988617334431664,885.5,not
12647,ADH5,128.0,NOT,0.47498425943598094,631.0,not
12648,SPOPL,339745.0,NOT,0.9925054103528798,889.5,not
12649,ANKRD24,170961.0,ND,0.999997456581843,1110.0,not
12650,FBXL3,26224.0,NOT,0.9999999995182798,1271.0,not
12651,PSMB4,5692.0,ND,2.682971676397776e-09,33.0,expressed
12652,ZCCHC6,79670.0,NOT,0.3163830073529689,588.0,not
12653,INF2,64423.0,NOT,0.9999972120973748,1108.0,not
